Term,Definition
📋 Information security policies,Overall security framework - High-level statements - Board-approved - Organization-wide scope
✅ Acceptable Use Policy (AUP),Define acceptable use of resources - Internet usage - Email usage - Social media guidelines - Personal device usage
🔄 Business continuity,Maintain operations during disruption - Critical business functions - Recovery procedures - Communication plans
🚨 Disaster recovery,Restore IT systems - After major incident - Recovery time objectives - Technical procedures
🚨 Incident response policy,How to respond to incidents - Roles and responsibilities - Escalation procedures - Reporting requirements
💻 Software development lifecycle (SDLC),Secure development practices - Security at each phase - Code review requirements - Testing procedures
🔄 Change management policy,Control changes to production - Approval process - Testing requirements - Documentation standards
🏛️ Policy framework,Policies (high-level) - Standards (specific requirements) - Procedures (step-by-step) - Guidelines (recommendations)
📝 Policy development,Identify requirements - Draft policy - Review and approval - Communication and training - Regular review and updates
🏛️ NIST (National Institute of Standards and Technology),NIST Cybersecurity Framework (CSF) - NIST SP 800 series - Risk Management Framework (RMF) - U.S. government standard
📜 ISO/IEC 27001,Information Security Management System (ISMS) - International standard - Certification available - Risk-based approach
📖 ISO/IEC 27002,Security controls catalog - Best practice guidelines - Implementation guidance - Companion to 27001
🔒 ISO/IEC 27701,Privacy extension to 27001/27002 - Privacy Information Management System (PIMS) - GDPR alignment
⚖️ ISO 31000,Risk management guidelines - Organization-wide risk management - Risk assessment process
💳 PCI DSS (Payment Card Industry Data Security Standard),Credit card data protection - Merchant requirements - Annual compliance - 12 requirements, 6 goals
🏥 HIPAA (Health Insurance Portability and Accountability Act),Healthcare data protection - PHI (Protected Health Information) - Privacy Rule - Security Rule - Breach Notification Rule
🇪🇺 GDPR (General Data Protection Regulation),EU privacy regulation - Personal data protection - Data subject rights - Significant fines for violations - Global impact
📊 SOX (Sarbanes-Oxley Act),Financial reporting - Internal controls - Public companies - IT controls
🛡️ CIS Controls,Center for Internet Security - Prioritized security actions - 18 controls - Implementation Groups (IG1, IG2, IG3)
📊 COBIT (Control Objectives for Information and Related Technologies),IT governance framework - ISACA standard - Business alignment - Risk management
🔄 Change management procedures,Request process - Approval workflow - Testing requirements - Implementation steps - Rollback procedures - Documentation
➕ Onboarding procedures,New hire process - Account creation - Access provisioning - Security training - Equipment issuance - NDA signing
➖ Offboarding procedures,Termination process - Account disablement - Access revocation - Equipment return - Exit interview - Knowledge transfer
📘 Playbooks,Documented procedures - Step-by-step instructions - Decision trees - Runbooks for operations
🚨 Incident response procedures,Detection and reporting - Triage and analysis - Containment steps - Eradication process - Recovery procedures - Post-incident review
💾 Backup procedures,Backup schedule - Backup types - Verification steps - Storage locations - Retention periods - Restoration testing
🔧 Patch management procedures,Patch identification - Testing process - Deployment schedule - Emergency patches - Verification steps
✅ Compliance obligations,Industry regulations - Geographic requirements - Contractual obligations - Legal mandates
🌍 Data sovereignty,Data location requirements - National laws - Cross-border data transfer - Cloud considerations
